outer_fold,inner_fold,config_id,learning_rate,scheduler,image_size,fine_tuning,loss,architecture,initialization,train_patients,train_cme_positive_patients,train_cme_negative_patients,train_images,validation_patients,validation_cme_positive_patients,validation_cme_negative_patients,validation_images,accuracy,auroc,auprc,sensitivity,specificity,precision,recall,f1,threshold,tn,fp,fn,tp,best_epoch,seed
4,3,lr_1em04_sched_none_img_224_ft_fc_only_loss_weighted_cross_entropy_471dbeb812,0.0001,none,224,fc_only,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.782608695652174,0.7857142857142857,0.6257936507936508,0.8571428571428571,0.75,0.6,0.8571428571428571,0.7058823529411765,0.3410278558731079,12,4,1,6,10,40342
4,4,lr_1em04_sched_none_img_224_ft_fc_only_loss_weighted_cross_entropy_471dbeb812,0.0001,none,224,fc_only,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.782608695652174,0.6893939393939394,0.7626587879448292,0.7272727272727273,0.8333333333333334,0.8,0.7272727272727273,0.7619047619047619,0.2272895276546478,10,2,3,8,27,40442
4,1,lr_1em04_sched_none_img_224_ft_fc_only_loss_focal_dbe5706b7b,0.0001,none,224,fc_only,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.5416666666666666,0.3986013986013986,0.4063902870122966,0.7272727272727273,0.3846153846153846,0.5,0.7272727272727273,0.5925925925925926,0.3059810996055603,5,8,3,8,26,40142
4,2,lr_1em04_sched_none_img_224_ft_fc_only_loss_focal_dbe5706b7b,0.0001,none,224,fc_only,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.7083333333333334,0.5874125874125875,0.5625624301426441,1.0,0.4615384615384615,0.6111111111111112,1.0,0.7586206896551724,0.3440794050693512,6,7,0,11,16,40242
4,3,lr_1em04_sched_none_img_224_ft_fc_only_loss_focal_dbe5706b7b,0.0001,none,224,fc_only,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.782608695652174,0.7857142857142857,0.6257936507936508,0.8571428571428571,0.75,0.6,0.8571428571428571,0.7058823529411765,0.3077407479286194,12,4,1,6,10,40342
4,4,lr_1em04_sched_none_img_224_ft_fc_only_loss_focal_dbe5706b7b,0.0001,none,224,fc_only,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.7391304347826086,0.6590909090909091,0.7512671492804632,0.6363636363636364,0.8333333333333334,0.7777777777777778,0.6363636363636364,0.7,0.3383529484272003,10,2,4,7,29,40442
4,1,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_weighted_cross_entropy_20e90af686,0.0001,none,224,layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7083333333333334,0.7412587412587412,0.7772727272727273,0.7272727272727273,0.6923076923076923,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.2889475226402282,9,4,3,8,9,40142
4,2,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_weighted_cross_entropy_20e90af686,0.0001,none,224,layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.8333333333333334,0.7972027972027973,0.8452716873769506,0.7272727272727273,0.9230769230769232,0.8888888888888888,0.7272727272727273,0.8,0.4724649786949157,12,1,3,8,7,40242
4,3,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_weighted_cross_entropy_20e90af686,0.0001,none,224,layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.9565217391304348,0.9017857142857144,0.9126984126984126,0.8571428571428571,1.0,1.0,0.8571428571428571,0.9230769230769232,0.4930742979049682,16,0,1,6,7,40342
4,4,lr_1em04_sched_none_img_224_ft_layer4_fc_loss_weighted_cross_entropy_20e90af686,0.0001,none,224,layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9130434782608696,0.9621212121212122,0.9585576040121496,1.0,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,0.3335781395435333,10,2,0,11,3,40442
